RiskIssueKey,RiskIssueID,ProjectKey,RecordType,RiskTitle,RiskCategory,Probability,Impact,RiskScore,RiskSeverity,Owner,IdentifiedDateKey,DueDateKey,ClosedDateKey,IdentifiedDate,DueDate,ClosedDate,RiskStatus,MitigationStatus,IsCritical,IsOverdue
901,RI-175-03,175,Risk,Legacy data quality could require redesign,Technical,2,4,8,Medium,Technical Lead,20260305,20260424,,2026-03-05,2026-04-24,,Mitigated,Completed,0,0
902,RI-176-01,176,Issue,Committed spend limits recovery options,Cost,4,4,16,High,Project Manager,20260513,20260811,,2026-05-13,2026-08-11,,Mitigated,Completed,0,0
903,RI-176-02,176,Risk,Vendor component readiness is uncertain,Dependency,3,3,9,Medium,Product Owner,20250922,20260118,20250924,2025-09-22,2026-01-18,2025-09-24,Closed,Completed,0,0
904,RI-176-03,176,Issue,Specialist rate mix is above plan — Industrial Workflow Modernization,Cost,4,4,16,High,Quality Lead,20260326,20260612,,2026-03-26,2026-06-12,,Monitoring,In Progress,0,1
905,RI-177-01,177,Risk,Performance margin may not meet the target,Technical,4,1,4,Low,Systems Lead,20260314,20260630,20260509,2026-03-14,2026-06-30,2026-05-09,Closed,Completed,0,0
906,RI-177-02,177,Risk,Interface behavior remains unproven,Technical,4,3,12,High,Security Lead,20260310,20260620,,2026-03-10,2026-06-20,,Open,Not Started,0,1
907,RI-177-03,177,Risk,Pilot readiness depends on unresolved actions,Schedule,4,1,4,Low,Supplier Manager,20260520,20260711,,2026-05-20,2026-07-11,,Mitigated,Completed,0,0
908,RI-178-01,178,Risk,Shared engineer availability may delay delivery,Resource,2,2,4,Low,Finance Partner,20260315,20260605,20260511,2026-03-15,2026-06-05,2026-05-11,Closed,Completed,0,0
909,RI-178-02,178,Risk,Regression scope may exceed the test window,Quality,2,2,4,Low,Data Lead,20260518,20260811,,2026-05-18,2026-08-11,,Monitoring,In Progress,0,0
910,RI-178-03,178,Risk,Traceability coverage requires remediation,Quality,3,3,9,Medium,Project Manager,20260129,20260501,20260206,2026-01-29,2026-05-01,2026-02-06,Closed,Completed,0,0
911,RI-178-04,178,Issue,Verification evidence is incomplete — Industrial Workflow Platform,Quality,4,4,16,High,Product Owner,20251108,20251213,,2025-11-08,2025-12-13,,Mitigated,Completed,0,0
912,RI-179-01,179,Risk,Defect closure rate may miss the exit criterion,Quality,3,3,9,Medium,Release Manager,20260628,20260811,,2026-06-28,2026-08-11,,Open,Not Started,0,0
913,RI-179-02,179,Issue,Rework could consume management reserve — Industrial Workflow Optimization,Cost,4,2,8,Medium,Technical Lead,20260221,20260417,20260405,2026-02-21,2026-04-17,2026-04-05,Closed,Not Required,0,0
914,RI-179-03,179,Risk,Acceptance criteria remain partially ambiguous,Quality,2,4,8,Medium,Systems Lead,20260420,20260623,,2026-04-20,2026-06-23,,Mitigated,Completed,0,0
915,RI-179-04,179,Risk,Prototype result may require architecture rework — Industrial Workflow Optimization,Technical,2,5,10,Medium,Security Lead,20260201,20260515,20260531,2026-02-01,2026-05-15,2026-05-31,Closed,Completed,0,0
916,RI-179-05,179,Risk,Review capacity is concentrated in one role — Industrial Workflow Optimization,Resource,4,2,8,Medium,Supplier Manager,20251130,20260212,,2025-11-30,2026-02-12,,Open,Not Started,0,1
917,RI-179-06,179,Risk,Pilot readiness depends on unresolved actions,Schedule,1,4,4,Low,Release Manager,20260311,20260630,20260409,2026-03-11,2026-06-30,2026-04-09,Closed,Completed,0,0
918,RI-179-07,179,Issue,Regression scope may exceed the test window — Industrial Workflow Optimization,Quality,5,3,15,High,Technical Lead,20260104,20260317,20260121,2026-01-04,2026-03-17,2026-01-21,Closed,Completed,0,0
919,RI-180-01,180,Risk,Contractor transition may reduce throughput — Industrial Workflow Integration,Resource,4,2,8,Medium,Product Owner,20260730,20260811,,2026-07-30,2026-08-11,,Open,In Progress,0,0
920,RI-180-02,180,Risk,Contractor transition may reduce throughput,Resource,2,2,4,Low,Quality Lead,20260725,20260811,,2026-07-25,2026-08-11,,Mitigated,Completed,0,0
921,RI-180-03,180,Issue,Specialist rate mix is above plan — Industrial Workflow Integration,Cost,2,5,10,Medium,Finance Partner,20260614,20260811,,2026-06-14,2026-08-11,,Monitoring,In Progress,0,0
922,RI-181-01,181,Issue,Customer test access is not yet confirmed,Dependency,2,3,6,Medium,Security Lead,20251222,20260309,20260226,2025-12-22,2026-03-09,2026-02-26,Closed,Completed,0,0
923,RI-181-02,181,Risk,External interface decision is blocking delivery,Dependency,2,2,4,Low,Supplier Manager,20260213,20260426,,2026-02-13,2026-04-26,,Open,Not Started,0,1
924,RI-181-03,181,Risk,External interface decision is blocking delivery,Dependency,4,2,8,Medium,Release Manager,20260327,20260529,,2026-03-27,2026-05-29,,Mitigated,Completed,0,0
925,RI-181-04,181,Issue,Vendor component readiness is uncertain — Industrial Workflow Transformation,Dependency,3,2,6,Medium,Technical Lead,20260205,20260524,,2026-02-05,2026-05-24,,Open,Not Started,0,1
926,RI-181-05,181,Issue,Environment parity is not yet demonstrated — Industrial Workflow Transformation,Technical,3,4,12,High,Systems Lead,20260405,20260602,,2026-04-05,2026-06-02,,Open,In Progress,0,1
927,RI-181-06,181,Risk,Customer test access is not yet confirmed — Industrial Workflow Transformation,Dependency,4,3,12,High,Security Lead,20260719,20260811,,2026-07-19,2026-08-11,,Monitoring,In Progress,0,0
928,RI-182-01,182,Risk,Backfill timing creates a capacity gap,Resource,5,2,10,Medium,Data Lead,20260226,20260712,,2026-02-26,2026-07-12,,Mitigated,Completed,0,0
929,RI-182-02,182,Risk,Defect closure rate may miss the exit criterion — Industrial Workflow Enablement,Quality,2,2,4,Low,Project Manager,20260514,20260707,,2026-05-14,2026-07-07,,Open,Not Started,0,1
930,RI-182-03,182,Risk,Upstream data contract remains unresolved,Dependency,2,3,6,Medium,Product Owner,20260612,20260730,20260622,2026-06-12,2026-07-30,2026-06-22,Closed,Not Required,0,0
931,RI-182-04,182,Issue,Legacy data quality could require redesign,Technical,3,4,12,High,Quality Lead,20260515,20260811,,2026-05-15,2026-08-11,,Open,In Progress,0,0
932,RI-182-05,182,Risk,Shared engineer availability may delay delivery,Resource,3,2,6,Medium,Finance Partner,20260327,20260630,20260516,2026-03-27,2026-06-30,2026-05-16,Closed,Completed,0,0
933,RI-182-06,182,Risk,Release window has limited recovery float,Schedule,2,2,4,Low,Data Lead,20260727,20260811,,2026-07-27,2026-08-11,,Open,Not Started,0,0
934,RI-182-07,182,Risk,Backfill timing creates a capacity gap,Resource,3,2,6,Medium,Project Manager,20260702,20260811,,2026-07-02,2026-08-11,,Monitoring,In Progress,0,0
935,RI-183-01,183,Risk,Defect closure rate may miss the exit criterion,Quality,3,3,9,Medium,Technical Lead,20260205,20260509,20260531,2026-02-05,2026-05-09,2026-05-31,Closed,Not Required,0,0
936,RI-183-02,183,Risk,Field issue recurrence needs containment,Quality,3,1,3,Low,Systems Lead,20260202,20260419,20260512,2026-02-02,2026-04-19,2026-05-12,Closed,Completed,0,0
937,RI-183-03,183,Issue,Supplier lead time threatens the next gate,Schedule,4,5,20,Critical,Security Lead,20260611,20260806,,2026-06-11,2026-08-06,,Mitigated,Completed,0,0
938,RI-183-04,183,Risk,Shared engineer availability may delay delivery — Industrial Workflow Acceleration,Resource,1,3,3,Low,Supplier Manager,20260203,20260601,,2026-02-03,2026-06-01,,Monitoring,In Progress,0,1
939,RI-183-05,183,Risk,Review capacity is concentrated in one role,Resource,3,2,6,Medium,Release Manager,20260615,20260811,,2026-06-15,2026-08-11,,Monitoring,Completed,0,0
940,RI-184-01,184,Risk,Competing portfolio priority constrains staffing,Resource,3,1,3,Low,Quality Lead,20260720,20260811,,2026-07-20,2026-08-11,,Monitoring,In Progress,0,0
941,RI-184-02,184,Risk,Supplier lead time threatens the next gate,Schedule,2,4,8,Medium,Finance Partner,20260329,20260606,20260602,2026-03-29,2026-06-06,2026-06-02,Closed,Completed,0,0
942,RI-184-03,184,Issue,External interface decision is blocking delivery,Dependency,3,2,6,Medium,Data Lead,20260506,20260811,,2026-05-06,2026-08-11,,Open,In Progress,0,0
943,RI-184-04,184,Issue,Prototype result may require architecture rework — Industrial Workflow Orchestration,Technical,1,4,4,Low,Project Manager,20260404,20260715,20260523,2026-04-04,2026-07-15,2026-05-23,Closed,Completed,0,0
944,RI-184-05,184,Risk,Interface behavior remains unproven,Technical,2,2,4,Low,Product Owner,20260417,20260811,,2026-04-17,2026-08-11,,Open,In Progress,0,0
945,RI-184-06,184,Issue,Committed spend limits recovery options,Cost,2,5,10,Medium,Quality Lead,20260330,20260704,20260628,2026-03-30,2026-07-04,2026-06-28,Closed,Completed,0,0
946,RI-184-07,184,Risk,Scope clarification may require a budget change,Cost,1,4,4,Low,Finance Partner,20260717,20260811,,2026-07-17,2026-08-11,,Monitoring,In Progress,0,0
947,RI-185-01,185,Risk,Technical debt may complicate integration,Technical,4,4,16,High,Supplier Manager,20260119,20260519,,2026-01-19,2026-05-19,,Monitoring,In Progress,0,1
948,RI-185-02,185,Issue,Technical debt may complicate integration — Industrial Workflow Intelligence,Technical,4,4,16,High,Release Manager,20260120,20260423,,2026-01-20,2026-04-23,,Monitoring,In Progress,0,1
949,RI-185-03,185,Risk,Specialist rate mix is above plan — Industrial Workflow Intelligence,Cost,2,3,6,Medium,Technical Lead,20260115,20260221,,2026-01-15,2026-02-21,,Open,In Progress,0,1
950,RI-186-01,186,Risk,Defect closure rate may miss the exit criterion,Quality,5,2,10,Medium,Project Manager,20260522,20260726,,2026-05-22,2026-07-26,,Mitigated,Completed,0,0
951,RI-186-02,186,Risk,Interface behavior remains unproven — Industrial Quality Modernization,Technical,3,3,9,Medium,Product Owner,20260425,20260623,20260625,2026-04-25,2026-06-23,2026-06-25,Closed,Completed,0,0
952,RI-186-03,186,Issue,Critical skill coverage is below demand,Resource,3,3,9,Medium,Quality Lead,20260305,20260510,20260407,2026-03-05,2026-05-10,2026-04-07,Closed,Completed,0,0
953,RI-186-04,186,Risk,External interface decision is blocking delivery — Industrial Quality Modernization,Dependency,2,3,6,Medium,Finance Partner,20260627,20260811,,2026-06-27,2026-08-11,,Open,In Progress,0,0
954,RI-186-05,186,Risk,Environment parity is not yet demonstrated — Industrial Quality Modernization,Technical,4,1,4,Low,Data Lead,20260418,20260725,,2026-04-18,2026-07-25,,Mitigated,Completed,0,0
955,RI-186-06,186,Issue,Rework could consume management reserve — Industrial Quality Modernization,Cost,4,3,12,High,Project Manager,20260711,20260811,,2026-07-11,2026-08-11,,Mitigated,Completed,0,0
956,RI-186-07,186,Issue,Critical skill coverage is below demand,Resource,2,4,8,Medium,Product Owner,20260730,20260811,20260810,2026-07-30,2026-08-11,2026-08-10,Closed,Completed,0,0
957,RI-187-01,187,Issue,Backfill timing creates a capacity gap — Industrial Quality Analytics,Resource,2,3,6,Medium,Systems Lead,20260421,20260811,,2026-04-21,2026-08-11,,Mitigated,Completed,0,0
958,RI-187-02,187,Issue,Security approval is on the critical path,Dependency,3,3,9,Medium,Security Lead,20260810,20260811,,2026-08-10,2026-08-11,,Monitoring,In Progress,0,0
959,RI-187-03,187,Issue,Technical debt may complicate integration — Industrial Quality Analytics,Technical,2,3,6,Medium,Supplier Manager,20260517,20260803,,2026-05-17,2026-08-03,,Mitigated,Completed,0,0
960,RI-187-04,187,Issue,Backfill timing creates a capacity gap,Resource,5,4,20,Critical,Release Manager,20260127,20260430,,2026-01-27,2026-04-30,,Mitigated,Completed,0,0
961,RI-187-05,187,Risk,Scope clarification may require a budget change,Cost,3,3,9,Medium,Technical Lead,20260301,20260720,,2026-03-01,2026-07-20,,Open,In Progress,0,1
962,RI-187-06,187,Risk,Supplier lead time threatens the next gate — Industrial Quality Analytics,Schedule,1,1,1,Low,Systems Lead,20260514,20260628,20260620,2026-05-14,2026-06-28,2026-06-20,Closed,Completed,0,0
963,RI-187-07,187,Risk,Critical skill coverage is below demand — Industrial Quality Analytics,Resource,4,4,16,High,Security Lead,20260729,20260811,,2026-07-29,2026-08-11,,Monitoring,Completed,0,0
964,RI-188-01,188,Issue,Backfill timing creates a capacity gap,Resource,4,2,8,Medium,Finance Partner,20260425,20260725,20260712,2026-04-25,2026-07-25,2026-07-12,Closed,Not Required,0,0
965,RI-188-02,188,Risk,Prototype result may require architecture rework — Industrial Quality Platform,Technical,3,3,9,Medium,Data Lead,20260730,20260811,,2026-07-30,2026-08-11,,Open,Not Started,0,0
966,RI-188-03,188,Risk,Review capacity is concentrated in one role,Resource,4,3,12,High,Project Manager,20260611,20260725,20260806,2026-06-11,2026-07-25,2026-08-06,Closed,Completed,0,0
967,RI-188-04,188,Issue,Interface behavior remains unproven — Industrial Quality Platform,Technical,3,3,9,Medium,Product Owner,20260605,20260725,,2026-06-05,2026-07-25,,Open,Not Started,0,1
968,RI-189-01,189,Risk,Verification evidence is incomplete — Industrial Quality Optimization,Quality,3,2,6,Medium,Release Manager,20260414,20260708,,2026-04-14,2026-07-08,,Monitoring,In Progress,0,1
969,RI-189-02,189,Risk,Interface behavior remains unproven — Industrial Quality Optimization,Technical,3,5,15,High,Technical Lead,20260422,20260810,,2026-04-22,2026-08-10,,Mitigated,Completed,0,0
970,RI-189-03,189,Issue,Shared engineer availability may delay delivery — Industrial Quality Optimization,Resource,4,5,20,Critical,Systems Lead,20260325,20260610,,2026-03-25,2026-06-10,,Mitigated,Completed,0,0
971,RI-189-04,189,Risk,Shared engineer availability may delay delivery,Resource,4,1,4,Low,Security Lead,20260105,20260409,20260504,2026-01-05,2026-04-09,2026-05-04,Closed,Completed,0,0
972,RI-190-01,190,Risk,External interface decision is blocking delivery — Industrial Quality Integration,Dependency,2,5,10,Medium,Product Owner,20260712,20260811,,2026-07-12,2026-08-11,,Open,In Progress,0,0
973,RI-190-02,190,Risk,Interface behavior remains unproven,Technical,5,4,20,Critical,Quality Lead,20260622,20260802,,2026-06-22,2026-08-02,,Mitigated,Completed,0,0
974,RI-190-03,190,Issue,Committed spend limits recovery options,Cost,3,2,6,Medium,Finance Partner,20260526,20260811,,2026-05-26,2026-08-11,,Mitigated,Completed,0,0
975,RI-190-04,190,Issue,Interface behavior remains unproven — Industrial Quality Integration,Technical,5,5,25,Critical,Data Lead,20260515,20260716,20260620,2026-05-15,2026-07-16,2026-06-20,Closed,Completed,0,0
976,RI-191-01,191,Risk,Interface behavior remains unproven — Industrial Quality Transformation,Technical,3,2,6,Medium,Security Lead,20260429,20260723,,2026-04-29,2026-07-23,,Mitigated,Completed,0,0
977,RI-191-02,191,Risk,Security approval is on the critical path — Industrial Quality Transformation,Dependency,2,3,6,Medium,Supplier Manager,20260424,20260811,,2026-04-24,2026-08-11,,Monitoring,In Progress,0,0
978,RI-191-03,191,Issue,Performance margin may not meet the target — Industrial Quality Transformation,Technical,3,4,12,High,Release Manager,20260305,20260512,20260329,2026-03-05,2026-05-12,2026-03-29,Closed,Not Required,0,0
979,RI-191-04,191,Risk,Performance margin may not meet the target — Industrial Quality Transformation,Technical,4,3,12,High,Technical Lead,20260420,20260607,,2026-04-20,2026-06-07,,Open,In Progress,0,1
980,RI-191-05,191,Risk,Competing portfolio priority constrains staffing,Resource,2,1,2,Low,Systems Lead,20260417,20260705,20260622,2026-04-17,2026-07-05,2026-06-22,Closed,Completed,0,0
981,RI-191-06,191,Risk,Rework could consume management reserve — Industrial Quality Transformation,Cost,2,4,8,Medium,Security Lead,20260802,20260811,,2026-08-02,2026-08-11,,Open,In Progress,0,0
982,RI-192-01,192,Risk,Interface behavior remains unproven,Technical,3,3,9,Medium,Data Lead,20260506,20260811,,2026-05-06,2026-08-11,,Open,Not Started,0,0
983,RI-192-02,192,Risk,Interface behavior remains unproven — Industrial Quality Enablement,Technical,5,4,20,Critical,Project Manager,20260323,20260803,20260405,2026-03-23,2026-08-03,2026-04-05,Closed,Completed,0,0
984,RI-192-03,192,Risk,Upstream data contract remains unresolved — Industrial Quality Enablement,Dependency,2,3,6,Medium,Product Owner,20260610,20260811,,2026-06-10,2026-08-11,,Monitoring,In Progress,0,0
985,RI-193-01,193,Risk,Upstream data contract remains unresolved — Industrial Quality Acceleration,Dependency,2,4,8,Medium,Technical Lead,20260727,20260811,,2026-07-27,2026-08-11,,Monitoring,In Progress,0,0
986,RI-193-02,193,Risk,Legacy data quality could require redesign — Industrial Quality Acceleration,Technical,2,1,2,Low,Systems Lead,20260802,20260811,,2026-08-02,2026-08-11,,Open,Not Started,0,0
987,RI-193-03,193,Risk,Competing portfolio priority constrains staffing,Resource,5,3,15,High,Security Lead,20260728,20260811,,2026-07-28,2026-08-11,,Open,In Progress,0,0
988,RI-194-01,194,Issue,Material quotation may exceed the estimate,Cost,5,3,15,High,Quality Lead,20260719,20260811,,2026-07-19,2026-08-11,,Open,Not Started,0,0
989,RI-194-02,194,Issue,Traceability coverage requires remediation,Quality,3,3,9,Medium,Finance Partner,20260223,20260605,,2026-02-23,2026-06-05,,Monitoring,In Progress,0,1
990,RI-194-03,194,Issue,Upstream data contract remains unresolved,Dependency,2,3,6,Medium,Data Lead,20260602,20260731,,2026-06-02,2026-07-31,,Mitigated,Completed,0,0
991,RI-194-04,194,Risk,Traceability coverage requires remediation,Quality,2,3,6,Medium,Project Manager,20251225,20260307,,2025-12-25,2026-03-07,,Mitigated,Completed,0,0
992,RI-194-05,194,Issue,Integration sequence may compress validation,Schedule,3,2,6,Medium,Product Owner,20260521,20260806,20260630,2026-05-21,2026-08-06,2026-06-30,Closed,Completed,0,0
993,RI-195-01,195,Risk,Legacy data quality could require redesign,Technical,2,3,6,Medium,Supplier Manager,20260712,20260811,,2026-07-12,2026-08-11,,Open,In Progress,0,0
994,RI-195-02,195,Risk,Release window has limited recovery float — Industrial Quality Intelligence,Schedule,3,1,3,Low,Release Manager,20260224,20260608,,2026-02-24,2026-06-08,,Open,Not Started,0,1
995,RI-195-03,195,Risk,Defect closure rate may miss the exit criterion — Industrial Quality Intelligence,Quality,4,4,16,High,Technical Lead,20260419,20260730,,2026-04-19,2026-07-30,,Monitoring,In Progress,0,1
996,RI-195-04,195,Issue,Late design decision may affect downstream work,Schedule,2,3,6,Medium,Systems Lead,20260527,20260811,,2026-05-27,2026-08-11,,Open,In Progress,0,0
997,RI-195-05,195,Risk,Interface behavior remains unproven — Industrial Quality Intelligence,Technical,3,4,12,High,Security Lead,20260322,20260510,20260425,2026-03-22,2026-05-10,2026-04-25,Closed,Completed,0,0
998,RI-195-06,195,Risk,Technical debt may complicate integration — Industrial Quality Intelligence,Technical,3,5,15,High,Supplier Manager,20260601,20260811,,2026-06-01,2026-08-11,,Open,Not Started,0,0
999,RI-196-01,196,Issue,Vendor component readiness is uncertain,Dependency,3,4,12,High,Project Manager,20260521,20260811,,2026-05-21,2026-08-11,,Open,Not Started,0,0
1000,RI-196-02,196,Risk,Test environment availability may move the baseline,Schedule,2,1,2,Low,Product Owner,20260303,20260512,,2026-03-03,2026-05-12,,Mitigated,Completed,0,0
1001,RI-196-03,196,Issue,Verification evidence is incomplete — Industrial Engineering Modernization,Quality,2,3,6,Medium,Quality Lead,20260207,20260414,20260428,2026-02-07,2026-04-14,2026-04-28,Closed,Completed,0,0
1002,RI-197-01,197,Risk,Technical debt may complicate integration,Technical,3,2,6,Medium,Systems Lead,20260318,20260621,,2026-03-18,2026-06-21,,Open,In Progress,0,1
1003,RI-197-02,197,Risk,Verification evidence is incomplete,Quality,4,3,12,High,Security Lead,20260516,20260811,,2026-05-16,2026-08-11,,Open,Not Started,0,0
1004,RI-197-03,197,Issue,External interface decision is blocking delivery — Industrial Engineering Analytics,Dependency,3,5,15,High,Supplier Manager,20260222,20260420,,2026-02-22,2026-04-20,,Monitoring,Completed,0,1
1005,RI-198-01,198,Risk,Competing portfolio priority constrains staffing — Industrial Engineering Platform,Resource,4,2,8,Medium,Finance Partner,20260605,20260811,,2026-06-05,2026-08-11,,Open,Not Started,0,0
1006,RI-198-02,198,Issue,Shared engineer availability may delay delivery — Industrial Engineering Platform,Resource,3,4,12,High,Data Lead,20260708,20260811,,2026-07-08,2026-08-11,,Open,In Progress,0,0
1007,RI-198-03,198,Risk,Technical debt may complicate integration,Technical,3,1,3,Low,Project Manager,20260720,20260811,,2026-07-20,2026-08-11,,Monitoring,In Progress,0,0
1008,RI-198-04,198,Risk,Pilot readiness depends on unresolved actions — Industrial Engineering Platform,Schedule,3,3,9,Medium,Product Owner,20260611,20260715,,2026-06-11,2026-07-15,,Mitigated,Completed,0,0
1009,RI-198-05,198,Risk,Critical skill coverage is below demand — Industrial Engineering Platform,Resource,2,3,6,Medium,Quality Lead,20260619,20260811,,2026-06-19,2026-08-11,,Open,Not Started,0,0
1010,RI-198-06,198,Risk,Performance margin may not meet the target — Industrial Engineering Platform,Technical,3,3,9,Medium,Finance Partner,20260629,20260811,,2026-06-29,2026-08-11,,Monitoring,In Progress,0,0
1011,RI-198-07,198,Risk,Contractor transition may reduce throughput,Resource,3,5,15,High,Data Lead,20260704,20260811,,2026-07-04,2026-08-11,,Open,Not Started,0,0
1012,RI-199-01,199,Risk,Prototype result may require architecture rework — Industrial Engineering Optimization,Technical,3,4,12,High,Release Manager,20260412,20260628,,2026-04-12,2026-06-28,,Monitoring,Completed,0,1
1013,RI-199-02,199,Risk,Test environment availability may move the baseline — Industrial Engineering Optimization,Schedule,4,3,12,High,Technical Lead,20260501,20260617,20260607,2026-05-01,2026-06-17,2026-06-07,Closed,Completed,0,0
1014,RI-199-03,199,Risk,Late design decision may affect downstream work,Schedule,2,2,4,Low,Systems Lead,20260226,20260610,20260531,2026-02-26,2026-06-10,2026-05-31,Closed,Completed,0,0
1015,RI-199-04,199,Risk,Test environment availability may move the baseline,Schedule,2,3,6,Medium,Security Lead,20260124,20260520,20260502,2026-01-24,2026-05-20,2026-05-02,Closed,Completed,0,0
1016,RI-199-05,199,Issue,Prototype result may require architecture rework — Industrial Engineering Optimization,Technical,3,4,12,High,Supplier Manager,20260113,20260402,,2026-01-13,2026-04-02,,Mitigated,Completed,0,0
1017,RI-200-01,200,Risk,Backfill timing creates a capacity gap — Industrial Engineering Integration,Resource,1,2,2,Low,Product Owner,20260718,20260811,,2026-07-18,2026-08-11,,Open,Not Started,0,0
1018,RI-200-02,200,Issue,Technical debt may complicate integration,Technical,5,3,15,High,Quality Lead,20260105,20260224,20260116,2026-01-05,2026-02-24,2026-01-16,Closed,Completed,0,0
1019,RI-200-03,200,Risk,Interface behavior remains unproven — Industrial Engineering Integration,Technical,3,4,12,High,Finance Partner,20260329,20260608,20260513,2026-03-29,2026-06-08,2026-05-13,Closed,Completed,0,0
1020,RI-200-04,200,Risk,Customer test access is not yet confirmed — Industrial Engineering Integration,Dependency,4,3,12,High,Data Lead,20260709,20260811,,2026-07-09,2026-08-11,,Open,In Progress,0,0
1021,RI-200-05,200,Risk,Defect closure rate may miss the exit criterion,Quality,3,2,6,Medium,Project Manager,20251212,20260406,20260401,2025-12-12,2026-04-06,2026-04-01,Closed,Completed,0,0
1022,RI-201-01,201,Risk,Customer test access is not yet confirmed,Dependency,2,1,2,Low,Security Lead,20260723,20260811,,2026-07-23,2026-08-11,,Mitigated,Completed,0,0
1023,RI-201-02,201,Issue,Committed spend limits recovery options,Cost,3,4,12,High,Supplier Manager,20260710,20260811,,2026-07-10,2026-08-11,,Open,Not Started,0,0
1024,RI-201-03,201,Risk,Shared engineer availability may delay delivery — Industrial Engineering Transformation,Resource,2,3,6,Medium,Release Manager,20251216,20260211,,2025-12-16,2026-02-11,,Mitigated,Completed,0,0
1025,RI-201-04,201,Risk,Competing portfolio priority constrains staffing — Industrial Engineering Transformation,Resource,4,1,4,Low,Technical Lead,20251123,20260123,20251218,2025-11-23,2026-01-23,2025-12-18,Closed,Completed,0,0
1026,RI-201-05,201,Risk,Supplier lead time threatens the next gate,Schedule,1,4,4,Low,Systems Lead,20251104,20260301,20260207,2025-11-04,2026-03-01,2026-02-07,Closed,Completed,0,0
1027,RI-202-01,202,Risk,Shared engineer availability may delay delivery — Industrial Engineering Enablement,Resource,3,3,9,Medium,Data Lead,20260512,20260811,,2026-05-12,2026-08-11,,Open,Not Started,0,0
1028,RI-202-02,202,Issue,Performance margin may not meet the target — Industrial Engineering Enablement,Technical,4,5,20,Critical,Project Manager,20260319,20260422,,2026-03-19,2026-04-22,,Mitigated,Completed,0,0
1029,RI-202-03,202,Risk,Verification evidence is incomplete — Industrial Engineering Enablement,Quality,2,2,4,Low,Product Owner,20260315,20260705,,2026-03-15,2026-07-05,,Monitoring,In Progress,0,1
1030,RI-202-04,202,Issue,Material quotation may exceed the estimate — Industrial Engineering Enablement,Cost,3,3,9,Medium,Quality Lead,20260728,20260811,,2026-07-28,2026-08-11,,Monitoring,In Progress,0,0
1031,RI-202-05,202,Issue,Acceptance criteria remain partially ambiguous — Industrial Engineering Enablement,Quality,3,3,9,Medium,Finance Partner,20260716,20260811,,2026-07-16,2026-08-11,,Mitigated,Completed,0,0
1032,RI-202-06,202,Issue,Review capacity is concentrated in one role — Industrial Engineering Enablement,Resource,2,2,4,Low,Data Lead,20260316,20260621,,2026-03-16,2026-06-21,,Monitoring,In Progress,0,1
1033,RI-203-01,203,Risk,Shared engineer availability may delay delivery,Resource,4,3,12,High,Technical Lead,20260614,20260806,20260614,2026-06-14,2026-08-06,2026-06-14,Closed,Completed,0,0
1034,RI-203-02,203,Risk,Shared engineer availability may delay delivery — Industrial Engineering Acceleration,Resource,2,3,6,Medium,Systems Lead,20260613,20260811,,2026-06-13,2026-08-11,,Mitigated,Completed,0,0
1035,RI-203-03,203,Risk,Environment parity is not yet demonstrated,Technical,3,4,12,High,Security Lead,20260615,20260811,,2026-06-15,2026-08-11,,Open,In Progress,0,0
1036,RI-203-04,203,Risk,Regression scope may exceed the test window,Quality,3,5,15,High,Supplier Manager,20260507,20260811,,2026-05-07,2026-08-11,,Open,In Progress,0,0
1037,RI-204-01,204,Issue,Critical skill coverage is below demand,Resource,5,3,15,High,Quality Lead,20260517,20260709,,2026-05-17,2026-07-09,,Open,Not Started,0,1
1038,RI-204-02,204,Risk,Vendor component readiness is uncertain,Dependency,2,3,6,Medium,Finance Partner,20260406,20260517,,2026-04-06,2026-05-17,,Mitigated,Completed,0,0
1039,RI-204-03,204,Risk,Scope clarification may require a budget change,Cost,3,2,6,Medium,Data Lead,20260811,20260811,,2026-08-11,2026-08-11,,Monitoring,In Progress,0,0
1040,RI-205-01,205,Risk,Verification evidence is incomplete,Quality,3,2,6,Medium,Supplier Manager,20260418,20260722,,2026-04-18,2026-07-22,,Mitigated,Completed,0,0
1041,RI-205-02,205,Risk,Environment parity is not yet demonstrated,Technical,1,3,3,Low,Release Manager,20260423,20260804,20260509,2026-04-23,2026-08-04,2026-05-09,Closed,Completed,0,0
1042,RI-205-03,205,Issue,Traceability coverage requires remediation — Industrial Engineering Intelligence,Quality,4,2,8,Medium,Technical Lead,20260326,20260502,,2026-03-26,2026-05-02,,Mitigated,Completed,0,0
1043,RI-205-04,205,Issue,Interface behavior remains unproven — Industrial Engineering Intelligence,Technical,1,2,2,Low,Systems Lead,20260712,20260811,,2026-07-12,2026-08-11,,Open,In Progress,0,0
1044,RI-206-01,206,Risk,Integration sequence may compress validation,Schedule,3,3,9,Medium,Project Manager,20260119,20260327,,2026-01-19,2026-03-27,,Mitigated,Completed,0,0
1045,RI-206-02,206,Risk,Competing portfolio priority constrains staffing — Industrial Energy Modernization,Resource,2,4,8,Medium,Product Owner,20251015,20260121,,2025-10-15,2026-01-21,,Mitigated,Completed,0,0
1046,RI-206-03,206,Issue,Legacy data quality could require redesign,Technical,4,2,8,Medium,Quality Lead,20260502,20260720,20260713,2026-05-02,2026-07-20,2026-07-13,Closed,Completed,0,0
